2 4 -6 
2 98 -100 
2 148 -150 
2 198 -200 
2 -2001 1999 
3 97 -100 
3 147 -150 
3 197 -200 
3 -2001 1998 
4 96 -100 
4 146 -150 
4 196 -200 
4 -2001 1997 
5 95 -100 
5 145 -150 
5 195 -200 
5 -2001 1996 
6 -6 0 
6 -6 0 
6 94 -100 
6 144 -150 
6 194 -200 
6 -2001 1995 
7 93 -100 
7 143 -150 
7 193 -200 
7 -2001 1994 
8 92 -100 
8 142 -150 
8 192 -200 
8 -2001 1993 
9 91 -100 
9 141 -150 
9 191 -200 
9 -2001 1992 
10 90 -100 
10 140 -150 
10 190 -200 
10 -2001 1991 
11 89 -100 
11 139 -150 
11 189 -200 
11 -2001 1990 
12 88 -100 
12 138 -150 
12 188 -200 
12 -2001 1989 
13 87 -100 
13 137 -150 
13 187 -200 
13 -2001 1988 
-6 106 -100 
-6 156 -150 
-6 206 -200 
-6 -2001 2007 
15 85 -100 
15 135 -150 
15 185 -200 
15 -2001 1986 
16 84 -100 
16 134 -150 
16 184 -200 
16 -2001 1985 
17 83 -100 
17 133 -150 
17 183 -200 
17 -2001 1984 
18 82 -100 
18 132 -150 
18 182 -200 
18 -2001 1983 
19 81 -100 
19 131 -150 
19 181 -200 
19 -2001 1982 
20 80 -100 
20 130 -150 
20 180 -200 
20 -2001 1981 
21 79 -100 
21 129 -150 
21 179 -200 
21 -2001 1980 
22 78 -100 
22 128 -150 
22 178 -200 
22 -2001 1979 
23 77 -100 
23 127 -150 
23 177 -200 
23 -2001 1978 
24 76 -100 
24 126 -150 
24 -2001 1977 
25 75 -100 
25 125 -150 
25 175 -200 
25 -2001 1976 
26 74 -100 
26 124 -150 
26 174 -200 
26 -2001 1975 
27 73 -100 
27 123 -150 
27 173 -200 
27 -2001 1974 
28 72 -100 
28 122 -150 
28 172 -200 
28 -2001 1973 
29 71 -100 
29 121 -150 
29 171 -200 
29 -2001 1972 
30 70 -100 
30 120 -150 
30 170 -200 
30 -2001 1971 
31 69 -100 
31 119 -150 
31 169 -200 
31 -2001 1970 
32 68 -100 
32 118 -150 
32 168 -200 
32 -2001 1969 
33 67 -100 
33 117 -150 
33 167 -200 
33 -2001 1968 
34 66 -100 
34 116 -150 
34 166 -200 
34 -2001 1967 
35 65 -100 
35 115 -150 
35 165 -200 
35 -2001 1966 
36 64 -100 
36 114 -150 
36 164 -200 
36 -2001 1965 
37 63 -100 
37 113 -150 
37 163 -200 
37 -2001 1964 
38 62 -100 
38 112 -150 
38 162 -200 
38 -2001 1963 
39 61 -100 
39 111 -150 
39 161 -200 
39 -2001 1962 
40 60 -100 
40 110 -150 
40 160 -200 
40 -2001 1961 
41 59 -100 
41 109 -150 
41 159 -200 
41 -2001 1960 
42 58 -100 
42 108 -150 
42 158 -200 
42 -2001 1959 
43 57 -100 
43 107 -150 
43 157 -200 
43 -2001 1958 
44 56 -100 
44 106 -150 
44 156 -200 
44 -2001 1957 
45 55 -100 
45 105 -150 
45 155 -200 
45 -2001 1956 
46 54 -100 
46 104 -150 
46 154 -200 
46 -2001 1955 
47 53 -100 
47 103 -150 
47 153 -200 
47 -2001 1954 
48 52 -100 
48 102 -150 
48 152 -200 
48 -2001 1953 
49 51 -100 
49 101 -150 
49 151 -200 
49 -2001 1952 
50 100 -150 
50 150 -200 
50 -2001 1951 
51 99 -150 
51 149 -200 
